id,url,snippet,source,headline,date,desk,section,type,word_count,locations,subjects
5c25f42a3a125f5075c020ec,https://www.nytimes.com/2018/12/28/books/review/yan-lianke-the-day-the-sun-died.html,"Yan Lianke’s novel “The Day the Sun Died” takes place on a single night, when a plague of somnambulism unleashes a host of suppressed emotions.",The New York Times,"In a Brutal Chinese Satire, Villagers Surrender to Their Worst Impulses",2018-12-28,BookReview,Books,Review,634,[],['Books and Literature']
5c13aa743a125f5075bff2c7,https://www.nytimes.com/2018/12/14/business/china-economy-xi-jinping.html,"Car sales are falling. Housing is slow. Workers get three-month unpaid vacations. For Chinese leaders, pressure for a trade deal with President Trump is rising.",The New York Times,"China’s Economy Slows Sharply, in Challenge for Xi Jinping",2018-12-14,Business,Business,News,1401,['China'],"['Economic Conditions and Trends', 'International Trade and World Market', 'Labor and Jobs', 'Layoffs and Job Reductions', 'Politics and Government']"
5bf244fa3a125f5075bfaf34,https://www.nytimes.com/2018/11/19/fashion/china-luxury-retail.html,Western money has been pouring into the country this fall. But is the lure of its billions of buyers masking what could be trouble ahead?,The New York Times,The Great Promise of China,2018-11-19,SpecialSections,Fashion,News,1674,['China'],['Luxury Goods and Services']
5be0afdf3a125f5075bf8b95,https://www.nytimes.com/2018/11/05/world/asia/china-xi-jinping-deng-xiaoping.html,"In a significant propaganda shift, Xi Jinping’s rise has come at the expense of Deng Xiaoping, long hailed as the architect of China’s prosperity.",The New York Times,"China’s Leader, Hogging Spotlight, Elbows Communist Titan Aside",2018-11-05,Foreign,World,News,1240,['China'],['Politics and Government']
5c1b763b3a125f5075c012d7,https://www.nytimes.com/2018/12/20/opinion/huawei-arrest-trade-war-china.html,"Its leaders are talking tough, but privately, many Chinese officials are worried about their economy and eager to end the trade war.",The New York Times,China Is Willing to Make a Deal,2018-12-20,OpEd,Opinion,Op-Ed,905,['China'],"['International Trade and World Market', 'Economic Conditions and Trends', 'Embargoes and Sanctions']"
5c168b643a125f5075bff6b0,https://www.nytimes.com/2018/12/16/world/asia/xinjiang-china-forced-labor-camps-uighurs.html,Mounting evidence suggests ethnic minorities caught in the mass internment drive in Xinjiang are being assigned to new factories making clothes.,The New York Times,China’s Detention Camps for Muslims Turn to Forced Labor,2018-12-16,Foreign,World,News,1801,"['China', 'Xinjiang (China)']","['Forced Labor', 'Uighurs (Chinese Ethnic Group)', 'Human Rights and Human Rights Violations', 'Minorities', 'Muslims and Islam']"
5c1a12653a125f5075bffd6f,https://www.nytimes.com/2018/12/19/world/asia/china-christmas-display-ban.html,"In this Chinese city, the War on Christmas is over. And Christmas lost.",The New York Times,Chinese City Bans Christmas Displays Amid Religious Crackdown,2018-12-19,Foreign,World,News,453,['China'],['Christmas']
5c1bc9b23a125f5075c013da,https://www.nytimes.com/video/us/100000006273114/china-cybercrime-rosenstein.html,Deputy Attorney General Rod Rosenstein announced charges against two Chinese nationals in what he described as a campaign by China to steal American technology secrets.,AP,"Cybercrime by China Is ‘Unacceptable,’ Rosenstein Says",2018-12-20,,U.S.,Video,91,['China'],"['Cyberattacks and Hackers', 'Robberies and Thefts', 'Attorneys General']"
5c2021863a125f5075c01a8d,https://www.nytimes.com/2018/12/23/opinion/editorials/china-canada-huawei-trump.html,Is the use of pawns the bad new normal in trade and diplomatic disputes? ,The New York Times,China’s Canadian Hostages,2018-12-24,Editorial,Opinion,Editorial,763,"['China', 'Canada', 'Iran', 'Vancouver (British Columbia)']","['United States International Relations', 'International Trade and World Market', 'Political Prisoners', 'International Relations']"
5c26153a3a125f5075c02134,https://www.nytimes.com/2018/12/28/business/china-economy-underwear.html,"An unorthodox economic indicator points to an improving outlook in China’s rust belt. Economists are skeptical, but there are precedents for this kind of measurement.",The New York Times,China’s State Media Finds Good News in Underwear,2018-12-28,Business,Business,News,978,"['China', 'Liaoning (China)']","['Economic Conditions and Trends', 'Lingerie and Underwear', 'Politics and Government', 'Freedom of the Press', 'E-Commerce']"
