id,url,snippet,source,headline,date,desk,section,type,word_count,locations,subjects
5ba56537068401528a2dc514,https://www.nytimes.com/interactive/2018/opinion/men-high-school-experience.html,Allegations against Brett Kavanaugh have raised questions about the ways men behaved in high school.,The New York Times,"Men, Tell Us About Your High School Experience",2018-09-21,Opinion,Opinion,Interactive Feature,0,[],['Gender']
5ae7432f068401528a2ab79f,https://www.nytimes.com/2018/04/30/t-magazine/art/jitish-kallat.html,"Jitish Kallat, the Mumbai-based artist with a new show in New York, lets elements like rain and fire affect his practice.",The New York Times,An Artist Who Leaves His Work Up to Nature — and Chance,2018-04-30,TStyle,T Magazine,News,560,[],['Art']
5af3537c068401528a2ad336,https://www.nytimes.com/2018/05/09/briefing/north-korea-malaysia-election-flipkart.html,Here’s what you need to know to start your day.,The New York Times,"North Korea, Malaysia Election, Flipkart: Your Thursday Briefing",2018-05-09,NYTNow,Briefing,briefing,1309,[],[]
5b806c6f068401528a2d59a8,https://www.nytimes.com/2018/08/24/t-magazine/international-folk-art-market-santa-fe.html,"Craftspeople from more than 50 countries came together for the annual event. Here, a shortlist of the standout makers.",The New York Times,"At This Santa Fe Fair, You Can Buy Crafts From Over 100 International Artists",2018-08-24,TStyle,T Magazine,News,890,['Santa Fe (NM)'],"['Art', 'Textiles', 'Carpets and Rugs', 'Knitting and Knit Goods']"
5bbf1f5b068401528a2df96d,https://www.nytimes.com/interactive/2018/10/11/opinion/heat-humidity-killer-combination.html,"In the future, the mix of heat and humidity could be so extreme that the evaporation of human sweat may not sufficiently cool our bodies.",The New York Times,Heat and Humidity Are a Killer Combination,2018-10-11,Opinion,Opinion,Interactive Feature,0,[],"['Global Warming', 'Greenhouse Gas Emissions', 'Sweating', 'Weather']"
5a84879f10f40f00018c1033,https://www.nytimes.com/2018/02/14/briefing/jacob-zuma-stormy-daniels-year-of-the-dog.html,Here’s what you need to know to start your day.,The New York Times,"Florida, Stormy Daniels, Year of the Dog: Your Thursday Briefing",2018-02-14,NYTNow,Briefing,briefing,1302,[],[]
5aabb9f8068401528a296d58,https://www.nytimes.com/2018/03/16/world/asia/north-korea-sanctions-violations.html,"With smuggled luxury goods and illicitly purchased oil, Kim Jong-un’s government maneuvers around measures meant to inhibit its nuclear program.",The New York Times,Wine and Diamonds: How North Korea Dodges Sanctions,2018-03-16,Foreign,World,News,984,['North Korea'],"['Nuclear Weapons', 'Embargoes and Sanctions', 'United States International Relations']"
5ae04397068401528a2aa8a1,https://www.nytimes.com/2018/04/25/learning/are-you-conforming-to-or-rebelling-against-your-parents-wishes-for-you.html,Do the choices you make for your life confuse and upset your parents? Or satisfy and delight them? How do these decisions affect your relationship?,The New York Times,Are You Conforming to or Rebelling Against Your Parents’ Wishes for You?,2018-04-25,Learning,The Learning Network,News,505,[],[]
5a72ace410f40f00018bee09,https://www.nytimes.com/interactive/2018/02/01/magazine/winter-olympics-hockey-xrays.html,How equipment changes turned the players from artists into technocrats. A new view of the goalie’s gear.,The New York Times,The Remaking of the Hockey Goalkeeper,2018-02-01,Magazine,Magazine,Interactive Feature,0,[],"['Olympic Games (2018)', 'Hockey, Ice', 'X-Rays', 'Photography']"
5a720c5010f40f00018bec5a,https://www.nytimes.com/2018/01/31/science/super-blue-blood-moon-photos.html,"Around the world, people woke up early or stayed up late to take in the cosmic coincidence of a blue moon, a supermoon and a lunar eclipse.",The New York Times,The Super Blue Blood Moon: Pictures From an Astronomical Hat Trick,2018-01-31,Science,Science,News,288,"['Australia', 'Far East, South and Southeast Asia and Pacific Areas', 'California']","['Space and Astronomy', 'Moon', 'Eclipses', 'vis-photo']"
5a7155cb10f40f00018bea39,https://www.nytimes.com/interactive/2018/01/31/magazine/winter-olympics-bobsled-nigerian-seun-adigun.html,"The driver Seun Adigun left Team U.S.A. to represent her home country, Nigeria.",The New York Times,The First African Team to Compete in Bobsled,2018-01-31,Magazine,Magazine,Interactive Feature,0,['Nigeria'],"['Olympic Games (2018)', 'Bobsledding']"
5b5a3c31068401528a2d10ba,https://www.nytimes.com/2018/07/26/us/politics/twitter-shadowbanning.html,An accusation that Twitter was suppressing conservative political views drew the attention of President Trump. Here’s what’s really going on.,The New York Times,"What Is a ‘Shadow Ban,’ and Is Twitter Doing It to Republican Accounts? ",2018-07-26,Politics,U.S.,News,887,[],"['Computers and the Internet', 'Social Media', 'Politics and Government', 'News and News Media', 'Midterm Elections (2018)']"
5c16aa4e3a125f5075bff6d5,https://www.nytimes.com/2018/12/16/briefing/paris-agreement-xinjiang-camps-japanese-restaurant.html,Let us help you start your day.,The New York Times,"Paris Agreement, Xinjiang Camps, Japanese Restaurant: Your Monday Briefing",2018-12-16,NYTNow,Briefing,briefing,1297,[],[]
5ba12d1f068401528a2dba5f,https://www.nytimes.com/2018/09/18/obituaries/ehsan-yarshater-dead.html,"He worked on his magnum opus, an encyclopedia of Iranian history and culture, for more than 40 years, retiring at the letter “K.” The work goes on.",The New York Times,"Ehsan Yarshater, Iran Scholar With a Monumental Vision, Dies at 98",2018-09-18,Obits,Obituaries,Obituary (Obit),1044,['Iran'],"['Encyclopedias', 'Deaths (Obituaries)', 'International Relations', 'Book Trade and Publishing']"
5aed72a0068401528a2ac6ac,https://www.nytimes.com/2018/05/05/movies/cannes-film-festival-women.html,The festival has drawn criticism in the past for gender imbalances in its lineup. Other urgent political struggles also enter the spotlight.,International New York Times,Women’s Battles Continue at Cannes Film Festival,2018-05-05,SpecialSections,Movies,News,1257,['Cannes (France)'],['Cannes International Film Festival']
5b53430d068401528a2d024f,https://www.nytimes.com/2018/07/21/world/asia/pakistan-election-military.html,"With out-of-favor candidates sidelined and news outlets censored, some Pakistanis say the vote Wednesday will be more like a soft coup than an election.",The New York Times,Military’s Influence Casts a Shadow Over Pakistan’s Election,2018-07-21,Foreign,World,News,1717,['Pakistan'],"['Elections', 'Defense and Military Forces', 'Legislatures and Parliaments', 'Politics and Government']"
5add685d068401528a2aa19f,https://www.nytimes.com/2018/04/23/arts/television/whats-on-tv-monday-the-late-late-show-special-and-pass-over.html,James Corden hosts his third prime-time special. And “Pass Over” reimagines “Waiting for Godot” in present-day Chicago.,The New York Times,What’s on TV Monday: ‘The Late Late Show’ Special and ‘Pass Over’,2018-04-23,Culture,Arts,Schedule,497,[],"['Television', 'Movies']"
5add685d068401528a2aa19f,https://www.nytimes.com/2018/04/23/arts/television/whats-on-tv-monday-the-late-late-show-special-and-pass-over.html,James Corden hosts his third prime-time special. And “Pass Over” reimagines “Waiting for Godot” in present-day Chicago.,The New York Times,What’s on TV Monday: ‘The Late Late Show’ Special and ‘Pass Over’,2018-04-23,Culture,Arts,Schedule,497,[],"['Television', 'Movies']"
5b5867f3068401528a2d0b8f,https://www.nytimes.com/2018/07/25/style/ivanka-trump-closing-fashion-line.html,"It’s just the fashion line, silly. But there’s a lesson here for would-be celebrity style-setters nonetheless.",The New York Times,Do You Really Think the Ivanka Trump Brand Is Dead? Dream On,2018-07-25,Styles,Style,News,847,[],"['Fashion and Apparel', 'United States Politics and Government']"
5bda2389068401528a2e3262,https://www.nytimes.com/2018/10/31/us/politics/on-politics-ballot-measures-midterms.html,"In On Politics: Voters will decide on complex issues put on the ballot by fellow citizens; plus, a banner year for diversity, and a new poll in Steve King’s district.",The New York Times,On the Ballot This Year: A Lot to Think About,2018-10-31,Politics,U.S.,News,1199,[],"['United States Politics and Government', 'Midterm Elections (2018)', 'Referendums']"
5b90d077068401528a2d9850,https://www.nytimes.com/2018/09/06/business/media/spotify-music-industry-record-labels.html,The streaming service has been making deals with independent artists. Could it change the music industry as we know it?,The New York Times,A New Spotify Initiative Makes the Big Record Labels Nervous,2018-09-06,Business,Business Day,News,1257,[],['Music']
5bf7b38b3a125f5075bfba97,https://www.nytimes.com/2018/11/23/business/nissan-renault-carlos-ghosn.html,"The arrest of Carlos Ghosn hit Nissan, Renault and Mitsubishi as they confront a global slowdown, a trade war and a major shift in technology.",The New York Times,Ghosn Arrest Exposes Stress in Japanese-French Auto Marriage,2018-11-23,Business,Business,News,1227,"['Japan', 'France', 'United States']","['International Trade and World Market', 'Driverless and Semiautonomous Vehicles', 'Embargoes and Sanctions']"
5b5216ac068401528a2d007e,https://www.nytimes.com/2018/07/20/technology/musk-zuckerberg-apology.html,"Elon Musk apologized for calling a Thailand cave diving rescuer a pedophile, while Mark Zuckerberg was tongue-tied by Holocaust deniers.",The New York Times,The Week in Tech: A Doozy of a Week for Industry Bosses,2018-07-20,Business,Technology,News,809,[],"['Social Media', 'Holocaust and the Nazi Era', 'Workplace Environment']"
5b307b11068401528a2b72be,https://www.nytimes.com/2018/06/23/business/opec-oil-production.html,"Khalid al-Falih, the Saudi energy minister, said that his country had capacity to spare and needed to be mindful of its customers’ interests.",The New York Times,"Saudis, Saying They Heard Price Complaints, Are Raising Oil Production",2018-06-23,Business,Business Day,News,678,[],"['Economic Conditions and Trends', 'Oil (Petroleum) and Gasoline', 'Politics and Government', 'Embargoes and Sanctions', 'Prices (Fares, Fees and Rates)', 'International Trade and World Market']"
5afa6072068401528a2ae1bd,https://www.nytimes.com/2018/05/15/briefing/jerusalem-sergei-skripal-italy.html,Here’s what you need to know to start your day.,The New York Times,"Jerusalem, Sergei Skripal, Italy: Your Tuesday Briefing",2018-05-15,NYTNow,Briefing,briefing,1339,[],[]
